id,timestamp,client_ip,domain,request_count,velocity_rps
2275,1785137735.2224007,192.168.10.25,graph.facebook.com,1,0.4
2274,1785137735.0917249,192.168.10.25,graph.facebook.com,1,0.2
2273,1785137728.8291824,192.168.10.25,client-api.itunes.apple.com,1,0.2
2272,1785137718.6553411,192.168.10.25,client-api.itunes.apple.com,1,0.2
2271,1785137712.0064096,192.168.10.25,client-api.itunes.apple.com,1,0.2
2270,1785137706.5124938,192.168.10.25,bag.itunes.apple.com,1,0.8
2269,1785137705.423573,192.168.10.25,graph.facebook.com,1,0.2
2268,1785137704.844823,192.168.10.25,bag.itunes.apple.com,1,0.6
2267,1785137704.7109118,192.168.10.25,bag.itunes.apple.com,1,0.4
2266,1785137704.5442438,192.168.10.25,bag.itunes.apple.com,1,0.2
2265,1785137691.5333455,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2264,1785137661.137782,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2263,1785137655.1366398,192.168.10.25,client-api.itunes.apple.com,1,0.2
2262,1785137654.1274018,192.168.10.25,graph.facebook.com,1,0.2
2261,1785137653.8001928,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2260,1785137629.8281531,192.168.10.25,client-api.itunes.apple.com,1,0.2
2259,1785137629.8222418,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2258,1785137612.645401,192.168.10.25,graph.facebook.com,1,0.2
2257,1785137612.5497427,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2256,1785137599.1617644,192.168.10.25,edge-mqtt.facebook.com,1,0.2
2255,1785137567.1764064,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2254,1785137537.2228203,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2253,1785137527.0673227,192.168.10.25,graph.facebook.com,1,0.2
2252,1785137526.9316726,192.168.10.25,scontent.xx.fbcdn.net,1,0.6
2251,1785137526.4748662,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2250,1785137526.122737,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2249,1785137507.016869,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2248,1785137506.754963,192.168.10.25,gateway.facebook.com,1,0.2
2247,1785137468.9375243,192.168.10.25,edge-mqtt.facebook.com,1,0.2
2246,1785137468.9272804,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2245,1785137466.8232844,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2244,1785137459.572591,192.168.10.25,www.facebook.com,1,0.2
2243,1785137459.4295614,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2242,1785137459.2815666,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2241,1785137442.1717374,192.168.10.25,scontent.xx.fbcdn.net,1,0.8
2240,1785137441.7329297,192.168.10.25,graph.facebook.com,1,0.2
2239,1785137441.0183687,192.168.10.25,scontent.xx.fbcdn.net,1,0.6
2238,1785137437.943492,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2237,1785137437.932415,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2236,1785136920.2053661,192.168.10.25,instagram.fmnl17-6.fna.fbcdn.net,1,0.2
2235,1785136920.1441278,192.168.10.25,instagram.fmnl17-2.fna.fbcdn.net,1,0.2
2234,1785136815.5620751,192.168.10.25,i.instagram.com,1,0.4
2233,1785136815.552163,192.168.10.25,i.instagram.com,1,0.2
2232,1785136801.5825229,192.168.10.25,i.instagram.com,1,4.4
2231,1785136801.5618172,192.168.10.25,i.instagram.com,1,4.2
2230,1785136801.5391102,192.168.10.25,i.instagram.com,1,4.0
2229,1785136801.5055254,192.168.10.25,i.instagram.com,1,3.8
2228,1785136798.1411579,192.168.10.25,i.instagram.com,1,3.6
2227,1785136797.9728694,192.168.10.25,i.instagram.com,1,3.4
2226,1785136797.9539804,192.168.10.25,i.instagram.com,1,3.2
2225,1785136797.9359627,192.168.10.25,i.instagram.com,1,3.0
2224,1785136797.914929,192.168.10.25,i.instagram.com,1,2.8
2223,1785136797.896235,192.168.10.25,i.instagram.com,1,2.6
2222,1785136797.8861847,192.168.10.25,i.instagram.com,1,2.4
2221,1785136797.8769336,192.168.10.25,i.instagram.com,1,2.2
2220,1785136797.8675172,192.168.10.25,i.instagram.com,1,2.0
2219,1785136797.8021088,192.168.10.25,i.instagram.com,1,1.8
2218,1785136797.7854524,192.168.10.25,i.instagram.com,1,1.6
2217,1785136797.7352693,192.168.10.25,i.instagram.com,1,1.4
2216,1785136797.6718144,192.168.10.25,test-gateway.instagram.com,1,0.2
2215,1785136797.64738,192.168.10.25,gateway.instagram.com,1,0.2
2214,1785136797.6265182,192.168.10.25,i.instagram.com,1,1.2
2213,1785136797.5816956,192.168.10.25,i.instagram.com,1,1.0
2212,1785136797.5626886,192.168.10.25,i.instagram.com,1,0.8
2211,1785136797.5458395,192.168.10.25,i.instagram.com,1,0.6
2210,1785136797.533556,192.168.10.25,edge-mqtt.facebook.com,1,0.2
2209,1785136797.5146987,192.168.10.25,i.instagram.com,1,0.4
2208,1785136797.4706528,192.168.10.25,i.instagram.com,1,0.2
2207,1785136677.1466932,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2206,1785136676.9328778,192.168.10.25,graph.facebook.com,1,0.2
2205,1785136676.5388038,192.168.10.25,gateway.facebook.com,1,0.2
2204,1785136676.4991732,192.168.10.25,web.facebook.com,1,0.2
2203,1785136675.893583,192.168.10.25,edge-mqtt.facebook.com,1,0.2
2202,1785136673.4821734,192.168.10.25,api.facebook.com,1,0.2
2201,1785136672.5077767,192.168.10.25,www.facebook.com,1,0.4
2200,1785136670.6092389,192.168.10.25,www.facebook.com,1,0.2
2199,1785136670.4672222,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2198,1785136668.3722744,192.168.10.25,graph.facebook.com,1,0.2
2197,1785136651.226725,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2196,1785136641.8875976,192.168.10.25,graph.facebook.com,1,0.2
2195,1785136638.0294592,192.168.10.25,gateway.facebook.com,1,0.2
2194,1785136620.6147976,192.168.10.25,web.facebook.com,1,0.2
2193,1785136615.8267586,192.168.10.25,api.facebook.com,1,0.4
2192,1785136612.552212,192.168.10.25,api.facebook.com,1,0.2
2191,1785136610.839782,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2190,1785136609.7321236,192.168.10.25,scontent.xx.fbcdn.net,1,0.4
2189,1785136605.2595127,192.168.10.25,scontent.xx.fbcdn.net,1,0.2
2188,1785136603.552945,192.168.10.25,www.facebook.com,1,0.2
2187,1785136600.1805117,192.168.10.25,gateway.facebook.com,1,0.2
2186,1785136599.297968,192.168.10.25,edge-mqtt.facebook.com,1,0.2
2185,1785136598.3865483,192.168.10.25,graph.facebook.com,1,0.2
2184,1785136585.4004066,192.168.10.25,ocsp2.apple.com,1,0.2
2183,1785136572.6811981,192.168.10.25,bag.itunes.apple.com,1,0.8
2182,1785136572.6439404,192.168.10.25,bag.itunes.apple.com,1,0.6
2181,1785136572.625431,192.168.10.25,api.smoot.apple.com,1,0.2
2180,1785136572.60977,192.168.10.25,api-glb-aapne1c.smoot.apple.com,1,0.4
2179,1785136572.5942657,192.168.10.25,api-glb-aapne1c.smoot.apple.com,1,0.2
2178,1785136572.0443647,192.168.10.25,bag.itunes.apple.com,1,0.4
2177,1785136571.536556,192.168.10.25,bag.itunes.apple.com,1,0.2
2176,1785136432.630398,192.168.10.25,i.instagram.com,1,0.6
2175,1785136432.6031547,192.168.10.25,i-fallback.instagram.com,1,1.0
